finding_id,reviewer,original_finding,location,evidence_or_counterexample,decision,rationale,changed_artifact,scope,activation_stage,effort_and_cost_effect,owner_attention_effect,verification_required,verification_result,remaining_question
G1,Gemini,SQLite WAL/sync and sidecar,Office.__init__,WAL requested; runtime FULL/SQLite3.53.1,adapt,Existing-defect claim false; separate durability from audit anchoring,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,storage hardening,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Measured write/crash/runtime tests,One controlled process-exit recovery passed; physical/Windows pending,task-specific acceptance thresholds pending
G2,Gemini,Unbounded AI router,local-assist.py,No cloud router; bounded context and timeout,adapt,Future resilience contract; fixed4K/3s unjustified,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,horizon,routed inference,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Cancellation/deadline/UI fault tests,Not implemented; model unvalidated,task-specific acceptance thresholds pending
G3,Gemini,Cross-site approval nonce,Office.propose/approve,Unique action/job/scope/expiry; payload-only hash,adapt,Attack not demonstrated; domain-binding before execution,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,external execution,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Wrong-action/job/scope/expiry replay rejection,Specified; not newly implemented,task-specific acceptance thresholds pending
G4,Gemini,TPM verifier identity,Office.verify_bind,Claimed verifier text acknowledged,adapt,Authentication/authorization/recovery before key prescription,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,horizon,delegated/shared operation,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Actor forgery and revocation tests,Unimplemented shared identity,task-specific acceptance thresholds pending
D1,DeepSeek,Authenticated event authority,Identity/approval context,Single trusted operator lacks user auth,adapt,Local trust legitimate; signed events do not replace auth,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,second-operator/shared action,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Forgery/offboarding/device recovery,Specified; not implemented,task-specific acceptance thresholds pending
D2,DeepSeek,Restore forks,Office.backup / future sync,Persistent lineage; no sync,accept,Separate lineage/device/recovery/writer and no silent merge,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,multi-device execution,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Two-copy edit/queued-action/cutover exercise,Future sync unimplemented,task-specific acceptance thresholds pending
D3,DeepSeek,Procedure lifecycle/stop authority,CX template / Harness,Existing applicability rules need release lifecycle,accept,One qualified bounded procedure; explicit stop authority,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,horizon,guided assignments,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Mismatch/expiry/unsafe-condition lab trial,Unreleased template only,task-specific acceptance thresholds pending
D4,DeepSeek,Secret/PII containment,Implementation21/Hybrid1.1,Encryption and secret-store rules already specified,adapt,Brief omitted requirements; enforce/minimize rather than log everything,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,real data/cloud egress,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Disk/backup/vault/egress/retention inspection,Application encryption and egress enforcement absent,task-specific acceptance thresholds pending
D5,DeepSeek,AI evaluation harness,Implementation20,Scenario evals specified; no model tested,accept,Risk tiers and reproducible regressions; no universal zero claim,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,AI/guided release,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Versioned model/scenario evals,Unimplemented harness/model unvalidated,task-specific acceptance thresholds pending
P1,Perplexity,Job transition authority,Office.track / TRACKS,Independent states and audit exist; rich gates incomplete,adapt,Enrich existing tracks; no linear done flag,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,consequential automation,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Accepted/rejected/scope-change/milestone billing cases,Design contract; not code increment,task-specific acceptance thresholds pending
P2,Perplexity,Evidence claim sufficiency,Dossier/instrument contract,Hash/file quantity does not establish claim,accept,Claim-specific manual records then narrow automation,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,closeout claim use,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Plentiful-but-insufficient versus sufficient evidence review,Manual template integrated; automation absent,task-specific acceptance thresholds pending
P3,Perplexity,Claimed/principal/authority distinction,Attribution model,Free text not authenticated; signatures not absolute proof,adapt,Semantic split and scoped account/revocation gates,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,floor,delegated/shared use,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Cross-role/Home attribution and revoke/restore test,Specified; not enforced,task-specific acceptance thresholds pending
P4,Perplexity,Delegation rung ladder,External action lifecycle,Draft is not executed or reconciled connector,adapt,Separate supported rung/attempt state; one real action,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,horizon,office execution,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Ambiguous timeout/duplicate/permission denial,Manual/preparation only; connector not built,task-specific acceptance thresholds pending
P5,Perplexity,Capability release/correct escalation,Graduation / Harness,Scoped/reversible graduation law exists,accept,Extend existing graduation; safe escalation positive not automatic pass,Adjudication-and-Integrated-Contracts.md; phone Grok return brief,horizon,guided sale,No new purchases/services; future engineering cost unestimated,Measure total attention including exceptions; no quantified savings claim,Firmware/tool/topology/mentor mismatch trials,Specified; not implemented,task-specific acceptance thresholds pending
C1,Claude,Mid-task invalidation,Office.revise / Approval Aperture,Scope invalidates actions; no physical interruption workflow,accept,"Secure at approved safe boundary, record exposure/reversibility, hold and reauthorize",Adjudication-and-Integrated-Contracts.md; consolidated phone Grok return,floor,physical work now manually; before automated/guided execution,No purchase/new service; future engineering/legal-review/service cost unestimated,Measure stabilization/escalation/reconciliation time; no quantified savings claim,Mock scope change with interrupted-work record and safe-state evidence,Manual contract integrated; automatic interruption absent,Target Windows/offline/mock interruption trial pending
